product_id,category,total_value,affected_value,unit
2851,Institutional,1,1,
2851,Residential Buildings,517,392,
2851,Other non-residential buildings,38,37,
2851,"School, university and research buildings",1,1,
2851,Buildings used as places of worship and for religious activities,2,2,
2852,Unclassified,136,133,
2852,Institutional,1,1,
2852,Residential Buildings,232,225,
2852,Other non-residential buildings,64,64,
2852,Wholesale and retail trade buildings,6,6,
2852,Buildings used as places of worship and for religious activities,2,2,
2868,Correctional,29,29,
2868,Residential Buildings,11429,3001,
2868,Other non-residential buildings,28,28,
2886,Unclassified,3861,387,
2886,Office buildings,3,3,
2886,Industrial buildings,3,2,
2886,Residential Buildings,287,41,
2886,Other non-residential buildings,341,170,
2886,Wholesale and retail trade buildings,1,1,
2886,"School, university and research buildings",5,5,
