product_id,category,total_value,affected_value,unit
2851,Other,4.3,3.4,ha
2851,Forests ,228.8,61.6,ha
2851,Inland wetlands ,14.6,12.1,ha
2851,Heterogeneous agricultural areas ,5.1,2.1,ha
2851,Shrub and/or herbaceous vegetation association,93.1,31.8,ha
2852,Other,3.3,3.2,ha
2852,Forests ,139.3,42.5,ha
2852,Inland wetlands ,1.1,1.1,ha
2852,Heterogeneous agricultural areas ,1.1,0.1,ha
2852,Shrub and/or herbaceous vegetation association,152.3,82.5,ha
2868,Other,100.2,26.7,ha
2868,Forests ,729.0,244.4,ha
2868,Inland wetlands ,84.7,72.1,ha
2868,Heterogeneous agricultural areas ,1132.5,313.0,ha
2868,Shrub and/or herbaceous vegetation association,65.7,45.3,ha
2887,Other,56.4,27.6,ha
2887,Forests ,689.5,29.4,ha
2887,Inland wetlands ,173.5,148.7,ha
2887,Heterogeneous agricultural areas ,1145.2,208.2,ha
2887,Shrub and/or herbaceous vegetation association,328.2,225.3,ha
